Run ID,Target Architecture,Binary Size (KB),CI Build Time (sec),Edge Sync Latency (sec),Active Device Downtime (sec)
Run 063,aarch64,3.45,43.09,1.09,0.0031
Run 064,x86_64,2.93,37.91,0.89,0.0015
Run 065,aarch64,3.45,42.5,1.23,0.0032
Run 066,x86_64,2.93,39.53,0.83,0.0013
Run 067,aarch64,3.45,44.78,1.11,0.0035
Run 068,x86_64,2.93,40.37,0.83,0.0014
Run 069,aarch64,3.45,41.67,1.12,0.0032
Run 070,x86_64,2.93,39.62,0.89,0.0019
Run 071,aarch64,3.45,42.3,1.2,0.0032
Run 072,x86_64,2.93,36.8,0.93,0.0019
Run 073,aarch64,3.45,40.71,1.09,0.003
Run 074,x86_64,2.93,38.11,1.0,0.0017
Run 075,aarch64,3.45,40.58,1.09,0.003
Run 076,x86_64,2.93,37.88,0.84,0.0018
Run 077,aarch64,3.45,44.18,1.22,0.003
Run 078,x86_64,2.93,39.27,0.94,0.0017
Run 079,aarch64,3.45,42.56,1.14,0.0035
Run 080,x86_64,2.93,38.83,0.94,0.0017
Run 081,aarch64,3.45,41.11,1.15,0.0033
Run 082,x86_64,2.93,39.36,0.86,0.0017
Run 083,aarch64,3.45,42.59,1.16,0.0034
Run 084,x86_64,2.93,38.56,0.92,0.0018
Run 085,aarch64,3.45,43.69,1.14,0.0036
Run 086,x86_64,2.93,39.15,0.87,0.0014
Run 087,aarch64,3.45,42.23,1.23,0.0035
Run 088,x86_64,2.93,39.43,0.84,0.0014
Run 089,aarch64,3.45,43.44,1.05,0.0033
Run 090,x86_64,2.93,40.11,0.87,0.0013
Run 091,aarch64,3.45,42.91,1.08,0.0034
Run 092,x86_64,2.93,39.25,0.86,0.0014
Run 093,aarch64,3.45,43.69,1.15,0.0031
Run 094,x86_64,2.93,37.67,0.83,0.0014
Run 095,aarch64,3.45,41.88,1.09,0.0032
Run 096,x86_64,2.93,40.24,0.82,0.0014
Run 097,aarch64,3.45,41.64,1.13,0.003
Run 098,x86_64,2.93,38.97,0.8,0.0015
Run 099,aarch64,3.45,42.42,1.05,0.0032
Run 100,x86_64,2.93,39.16,0.88,0.0018
Run 101,aarch64,3.45,43.74,1.08,0.0035
Run 102,x86_64,2.93,38.36,0.86,0.0014
Run 103,aarch64,3.45,41.58,1.21,0.0034
Run 104,x86_64,2.93,40.03,0.79,0.0014
Run 105,aarch64,3.45,42.5,1.14,0.0034
Run 106,x86_64,2.93,39.49,0.84,0.0017
Run 107,aarch64,3.45,44.06,1.21,0.0035
Run 108,x86_64,2.93,40.42,0.86,0.0018
Run 109,aarch64,3.45,44.44,1.13,0.0032
Run 110,x86_64,2.93,40.27,0.84,0.0018
Run 111,aarch64,3.45,42.85,1.08,0.0034
Run 112,x86_64,2.93,40.22,0.94,0.0018
Run 113,aarch64,3.45,42.88,1.21,0.0032
Run 114,x86_64,2.93,38.26,0.96,0.0014
Run 115,aarch64,3.45,43.28,1.12,0.0032
Run 116,x86_64,2.93,40.35,0.78,0.0015
Run 117,aarch64,3.45,41.74,1.08,0.0035
Run 118,x86_64,2.93,36.72,0.85,0.0014
Run 119,aarch64,3.45,43.24,1.11,0.0035
Run 120,x86_64,2.93,38.76,0.9,0.0016
Run 121,aarch64,3.45,42.36,1.07,0.0033
Run 122,x86_64,2.93,37.91,0.87,0.0017
Run 123,aarch64,3.45,42.44,1.19,0.003
Run 124,x86_64,2.93,39.8,0.85,0.0017
Run 125,aarch64,3.45,42.41,1.04,0.0032
Run 126,x86_64,2.93,40.0,0.91,0.0015
Run 127,aarch64,3.45,41.59,1.2,0.0034
Run 128,x86_64,2.93,38.56,0.92,0.0016
Run 129,aarch64,3.45,41.68,1.14,0.003
Run 130,x86_64,2.93,36.92,0.93,0.0017
Run 131,aarch64,3.45,43.86,1.07,0.0031
Run 132,x86_64,2.93,38.78,0.87,0.0015
Run 133,aarch64,3.45,41.07,1.14,0.0033
Run 134,x86_64,2.93,37.85,0.89,0.0014
Run 135,aarch64,3.45,39.95,1.13,0.0034
Run 136,x86_64,2.93,38.98,0.89,0.0016
Run 137,aarch64,3.45,41.77,1.08,0.0034
Run 138,x86_64,2.93,38.81,0.8,0.0014
Run 139,aarch64,3.45,42.58,1.13,0.0031
Run 140,x86_64,2.93,37.07,0.89,0.0014
Run 141,aarch64,3.45,41.05,1.15,0.0031
Run 142,x86_64,2.93,38.45,0.82,0.0015
Run 143,aarch64,3.45,42.43,1.11,0.0034
Run 144,x86_64,2.93,38.85,0.85,0.0016
Run 145,aarch64,3.45,43.86,1.23,0.0033
Run 146,x86_64,2.93,39.45,0.89,0.0018
Run 147,aarch64,3.45,40.42,1.14,0.0034
Run 148,x86_64,2.93,40.01,0.87,0.0019
Run 149,aarch64,3.45,43.78,1.07,0.0034
Run 150,x86_64,2.93,37.1,0.87,0.0016
Run 151,aarch64,3.45,44.08,1.06,0.0032
Run 152,x86_64,2.93,38.76,0.91,0.0017
Run 153,aarch64,3.45,42.64,1.05,0.0033
Run 154,x86_64,2.93,38.74,0.89,0.0015
Run 155,aarch64,3.45,42.36,1.16,0.0033
Run 156,x86_64,2.93,39.22,0.9,0.0017
Run 157,aarch64,3.45,42.38,1.1,0.0032
Run 158,x86_64,2.93,37.9,0.86,0.0014
Run 159,aarch64,3.45,40.22,1.17,0.0033
Run 160,x86_64,2.93,38.2,0.78,0.0018
Run 161,aarch64,3.45,42.4,1.12,0.0032
Run 162,x86_64,2.93,38.84,0.78,0.0019
Run 163,aarch64,3.45,40.76,1.15,0.0033
Run 164,x86_64,2.93,38.29,0.85,0.0014
Run 165,aarch64,3.45,42.23,1.12,0.0032
Run 166,x86_64,2.93,38.41,0.83,0.0014
Run 167,aarch64,3.45,41.89,1.12,0.0033
Run 168,x86_64,2.93,39.69,0.88,0.0016
Run 169,aarch64,3.45,44.2,1.13,0.003
Run 170,x86_64,2.93,38.52,0.88,0.0015
Run 171,aarch64,3.45,42.75,1.16,0.0034
Run 172,x86_64,2.93,37.71,0.93,0.0018
Run 173,aarch64,3.45,42.49,1.14,0.003
Run 174,x86_64,2.93,35.04,0.82,0.0015
Run 175,aarch64,3.45,41.27,1.04,0.0033
Run 176,x86_64,2.93,38.86,0.75,0.0014
Run 177,aarch64,3.45,43.18,1.12,0.003
Run 178,x86_64,2.93,38.24,0.82,0.0014
Run 179,aarch64,3.45,41.86,1.03,0.0031
Run 180,x86_64,2.93,37.63,0.82,0.0014
Run 181,aarch64,3.45,43.81,1.0,0.003
Run 182,x86_64,2.93,39.57,0.88,0.0017
Run 183,aarch64,3.45,43.66,1.1,0.0034
Run 184,x86_64,2.93,40.02,0.91,0.0017
Run 185,aarch64,3.45,44.16,1.17,0.0035
Run 186,x86_64,2.93,38.43,0.86,0.0019
Run 187,aarch64,3.45,42.73,1.07,0.0032
Run 188,x86_64,2.93,38.07,0.92,0.0015
Run 189,aarch64,3.45,43.81,1.04,0.003
Run 190,x86_64,2.93,40.04,0.86,0.0018
Run 191,aarch64,3.45,42.16,1.06,0.0034
Run 192,x86_64,2.93,39.5,0.87,0.0018
Run 193,aarch64,3.45,41.16,1.1,0.0032
Run 194,x86_64,2.93,38.72,0.84,0.0018
Run 195,aarch64,3.45,42.75,1.1,0.0035
Run 196,x86_64,2.93,38.84,0.93,0.0017
Run 197,aarch64,3.45,42.29,1.12,0.0035
Run 198,x86_64,2.93,39.06,0.91,0.0018
Run 199,aarch64,3.45,41.17,1.2,0.0034
Run 200,x86_64,2.93,38.78,0.88,0.0019
Run 201,aarch64,3.45,44.14,1.16,0.0032
Run 202,x86_64,2.93,38.87,0.8,0.0017
Run 203,aarch64,3.45,40.37,1.12,0.003
Run 204,x86_64,2.93,39.05,0.95,0.0015
Run 205,aarch64,3.45,41.32,1.09,0.0033
Run 206,x86_64,2.93,37.47,0.91,0.0015
Run 207,aarch64,3.45,42.22,1.08,0.0031
Run 208,x86_64,2.93,39.23,0.9,0.0014
Run 209,aarch64,3.45,40.52,1.1,0.0031
Run 210,x86_64,2.93,39.02,0.93,0.0017
Run 211,aarch64,3.45,43.95,1.11,0.0031
Run 212,x86_64,2.93,39.28,0.89,0.0014
Run 213,aarch64,3.45,42.59,1.12,0.0033
Run 214,x86_64,2.93,38.43,1.01,0.0016
Run 215,aarch64,3.45,42.3,1.09,0.0035
Run 216,x86_64,2.93,36.98,0.88,0.0017
Run 217,aarch64,3.45,41.23,1.12,0.0031
Run 218,x86_64,2.93,40.83,0.91,0.0016
Run 219,aarch64,3.45,43.03,1.07,0.003
Run 220,x86_64,2.93,38.59,0.86,0.0014
Run 221,aarch64,3.45,41.56,1.1,0.0036
Run 222,x86_64,2.93,39.93,0.93,0.0017
Run 223,aarch64,3.45,42.72,1.08,0.0033
Run 224,x86_64,2.93,37.87,0.89,0.0018
Run 225,aarch64,3.45,43.52,1.11,0.0033
Run 226,x86_64,2.93,37.66,0.82,0.0019
Run 227,aarch64,3.45,42.72,1.15,0.0034
Run 228,x86_64,2.93,39.11,0.9,0.0014
Run 229,aarch64,3.45,43.81,1.12,0.0033
Run 230,x86_64,2.93,38.63,0.91,0.0017
Run 231,aarch64,3.45,42.12,1.06,0.0034
Run 232,x86_64,2.93,40.21,0.83,0.0017
Run 233,aarch64,3.45,41.02,1.02,0.0032
Run 234,x86_64,2.93,37.55,0.85,0.0019
Run 235,aarch64,3.45,42.71,1.1,0.0031
Run 236,x86_64,2.93,38.27,0.95,0.0017
Run 237,aarch64,3.45,42.35,1.14,0.0034
Run 238,x86_64,2.93,38.13,0.76,0.0016
Run 239,aarch64,3.45,42.01,1.12,0.003
Run 240,x86_64,2.93,38.08,0.89,0.0015
Run 241,aarch64,3.45,45.08,1.18,0.0035
Run 242,x86_64,2.93,36.83,0.82,0.0019
Run 243,aarch64,3.45,42.05,1.08,0.003
Run 244,x86_64,2.93,38.84,0.82,0.0017
Run 245,aarch64,3.45,43.16,1.1,0.0033
Run 246,x86_64,2.93,38.11,0.83,0.0014
Run 247,aarch64,3.45,41.88,1.15,0.0034
Run 248,x86_64,2.93,39.3,0.84,0.0017
Run 249,aarch64,3.45,41.81,1.23,0.0034
Run 250,x86_64,2.93,37.86,0.86,0.0015
Run 251,aarch64,3.45,41.09,1.23,0.0032
Run 252,x86_64,2.93,36.13,0.86,0.0017
Run 253,aarch64,3.45,41.3,1.1,0.0031
Run 254,x86_64,2.93,37.82,0.94,0.0017
Run 255,aarch64,3.45,42.55,1.08,0.0033
Run 256,x86_64,2.93,39.67,0.85,0.0017
Run 257,aarch64,3.45,44.83,1.21,0.0033
Run 258,x86_64,2.93,38.84,0.9,0.0016
Run 259,aarch64,3.45,42.0,1.11,0.0036
Run 260,x86_64,2.93,39.66,0.85,0.0014
Run 261,aarch64,3.45,43.2,1.06,0.0034
Run 262,x86_64,2.93,38.08,0.87,0.0018
Run 263,aarch64,3.45,43.39,1.11,0.0033
Run 264,x86_64,2.93,37.29,0.95,0.0016
Run 265,aarch64,3.45,44.24,1.05,0.0031
Run 266,x86_64,2.93,39.03,0.82,0.0019
Run 267,aarch64,3.45,40.28,1.11,0.0031
Run 268,x86_64,2.93,38.44,0.94,0.0019
Run 269,aarch64,3.45,41.82,1.12,0.0033
Run 270,x86_64,2.93,38.16,0.93,0.0016
Run 271,aarch64,3.45,41.48,1.13,0.0031
Run 272,x86_64,2.93,38.42,0.81,0.0014
Run 273,aarch64,3.45,42.56,1.1,0.0034
Run 274,x86_64,2.93,38.34,0.79,0.0015
Run 275,aarch64,3.45,41.35,1.04,0.0035
Run 276,x86_64,2.93,38.55,0.87,0.0016
Run 277,aarch64,3.45,40.46,1.06,0.0035
Run 278,x86_64,2.93,37.78,0.9,0.0016
Run 279,aarch64,3.45,42.29,1.06,0.0033
Run 280,x86_64,2.93,39.37,0.92,0.0019
Run 281,aarch64,3.45,41.53,1.18,0.0033
Run 282,x86_64,2.93,39.85,0.8,0.0018
Run 283,aarch64,3.45,41.74,1.14,0.0034
Run 284,x86_64,2.93,38.91,0.77,0.0013
Run 285,aarch64,3.45,44.04,1.14,0.0035
Run 286,x86_64,2.93,40.29,0.87,0.0016
Run 287,aarch64,3.45,43.89,1.16,0.0035
Run 288,x86_64,2.93,37.5,0.9,0.0019
Run 289,aarch64,3.45,44.55,1.14,0.0031
Run 290,x86_64,2.93,38.44,0.89,0.0016
Run 291,aarch64,3.45,40.55,1.08,0.0031
Run 292,x86_64,2.93,40.4,0.92,0.0017
Run 293,aarch64,3.45,42.65,1.22,0.003
Run 294,x86_64,2.93,38.13,0.88,0.0015
Run 295,aarch64,3.45,44.66,1.12,0.0035
Run 296,x86_64,2.93,38.57,0.85,0.0016
Run 297,aarch64,3.45,41.6,1.17,0.0033
Run 298,x86_64,2.93,38.19,0.89,0.0018
Run 299,aarch64,3.45,42.87,1.16,0.0032
Run 300,x86_64,2.93,38.89,0.94,0.0017
Run 301,aarch64,3.45,43.5,1.11,0.0035
Run 302,x86_64,2.93,38.41,0.84,0.0016
Run 303,aarch64,3.45,41.72,1.04,0.003
Run 304,x86_64,2.93,37.97,0.84,0.0019
Run 305,aarch64,3.45,42.02,1.2,0.0033
Run 306,x86_64,2.93,38.03,0.93,0.0017
Run 307,aarch64,3.45,41.66,1.04,0.0034
Run 308,x86_64,2.93,39.47,0.81,0.0019
Run 309,aarch64,3.45,41.87,1.08,0.0032
Run 310,x86_64,2.93,37.52,0.84,0.0014
Run 311,aarch64,3.45,41.94,1.19,0.0031
Run 312,x86_64,2.93,39.56,0.92,0.0019
Run 313,aarch64,3.45,39.89,1.09,0.0035
Run 314,x86_64,2.93,38.73,0.97,0.0016
Run 315,aarch64,3.45,43.19,1.04,0.0032
Run 316,x86_64,2.93,40.53,0.96,0.0014
Run 317,aarch64,3.45,44.83,1.09,0.0034
Run 318,x86_64,2.93,41.13,0.86,0.0018
Run 319,aarch64,3.45,41.09,1.18,0.003
Run 320,x86_64,2.93,37.83,0.86,0.0017
Run 321,aarch64,3.45,41.75,1.06,0.0034
Run 322,x86_64,2.93,39.2,0.87,0.0015
Run 323,aarch64,3.45,44.96,1.13,0.0033
Run 324,x86_64,2.93,39.35,0.86,0.0013
Run 325,aarch64,3.45,43.68,1.02,0.0031
Run 326,x86_64,2.93,38.39,0.89,0.0019
Run 327,aarch64,3.45,42.03,1.17,0.003
Run 328,x86_64,2.93,39.17,0.86,0.0016
Run 329,aarch64,3.45,41.55,1.04,0.0035
Run 330,x86_64,2.93,37.51,0.91,0.0014
Run 331,aarch64,3.45,42.03,1.13,0.0032
Run 332,x86_64,2.93,36.94,0.94,0.0013
Run 333,aarch64,3.45,41.61,1.15,0.0035
Run 334,x86_64,2.93,39.05,0.86,0.0017
Run 335,aarch64,3.45,39.32,1.08,0.0032
Run 336,x86_64,2.93,38.33,0.89,0.0014
Run 337,aarch64,3.45,43.26,1.07,0.0034
Run 338,x86_64,2.93,38.04,0.82,0.0013
Run 339,aarch64,3.45,42.71,1.08,0.003
Run 340,x86_64,2.93,38.49,0.87,0.0018
Run 341,aarch64,3.45,42.72,1.15,0.0035
Run 342,x86_64,2.93,38.56,0.9,0.0019
Run 343,aarch64,3.45,44.87,1.12,0.003
Run 344,x86_64,2.93,39.27,0.9,0.0014
Run 345,aarch64,3.45,42.35,1.1,0.003
Run 346,x86_64,2.93,38.96,0.84,0.0015
Run 347,aarch64,3.45,42.68,1.13,0.0034
Run 348,x86_64,2.93,37.33,0.86,0.0016
Run 349,aarch64,3.45,42.75,1.06,0.003
Run 350,x86_64,2.93,36.63,0.87,0.0013
