Run ID,Hardware Architecture,Local Exec Latency (ms),AWS Network Latency (ms),Total RTT Latency (ms),Data Accuracy Rate (%)
Run 079,aarch64,1.068,542.383,543.45,100
Run 080,x86_64,0.824,100.126,100.949,100
Run 081,aarch64,1.069,303.903,304.972,100
Run 082,x86_64,0.87,538.397,539.267,100
Run 083,aarch64,0.935,100.014,100.949,100
Run 084,x86_64,0.979,99.971,100.949,100
Run 085,aarch64,1.114,156.032,157.145,100
Run 086,x86_64,1.035,866.822,867.857,100
Run 087,aarch64,1.01,463.991,465.002,100
Run 088,x86_64,0.913,866.659,867.572,100
Run 089,aarch64,0.957,99.992,100.949,100
Run 090,x86_64,1.032,212.699,213.731,100
Run 091,aarch64,0.979,402.687,403.667,100
Run 092,x86_64,0.88,544.718,545.599,100
Run 093,aarch64,0.996,444.893,445.889,100
Run 094,x86_64,0.917,189.252,190.168,100
Run 095,aarch64,0.992,1145.755,1146.747,100
Run 096,x86_64,0.933,883.185,884.119,100
Run 097,aarch64,1.072,526.529,527.602,100
Run 098,x86_64,0.929,494.648,495.577,100
Run 099,aarch64,1.031,226.405,227.436,100
Run 100,x86_64,0.827,386.051,386.878,100
Run 101,aarch64,1.031,99.918,100.949,100
Run 102,x86_64,1.059,99.89,100.949,100
Run 103,aarch64,0.922,100.027,100.949,100
Run 104,x86_64,1.017,732.318,733.336,100
Run 105,aarch64,1.032,676.216,677.248,100
Run 106,x86_64,0.956,386.818,387.775,100
Run 107,aarch64,1.057,541.869,542.926,100
Run 108,x86_64,0.881,656.839,657.719,100
Run 109,aarch64,0.949,547.912,548.862,100
Run 110,x86_64,0.89,658.662,659.552,100
Run 111,aarch64,1.077,99.873,100.949,100
Run 112,x86_64,1.016,1083.302,1084.318,100
Run 113,aarch64,1.019,99.93,100.949,100
Run 114,x86_64,0.841,124.441,125.282,100
Run 115,aarch64,0.921,100.028,100.949,100
Run 116,x86_64,0.914,834.29,835.204,100
Run 117,aarch64,1.092,99.857,100.949,100
Run 118,x86_64,1.047,544.049,545.096,100
Run 119,aarch64,1.05,138.9,139.95,100
Run 120,x86_64,0.981,223.875,224.856,100
Run 121,aarch64,1.059,168.984,170.043,100
Run 122,x86_64,0.919,430.07,430.99,100
Run 123,aarch64,0.984,349.522,350.506,100
Run 124,x86_64,1.09,99.859,100.949,100
Run 125,aarch64,1.076,261.029,262.105,100
Run 126,x86_64,1.036,667.169,668.205,100
Run 127,aarch64,0.993,625.28,626.273,100
Run 128,x86_64,1.099,296.615,297.714,100
Run 129,aarch64,0.956,409.061,410.017,100
Run 130,x86_64,1.018,313.135,314.153,100
Run 131,aarch64,1.109,565.946,567.054,100
Run 132,x86_64,1.049,1042.445,1043.494,100
Run 133,aarch64,0.934,780.898,781.832,100
Run 134,x86_64,1.002,99.947,100.949,100
Run 135,aarch64,0.948,307.051,307.999,100
Run 136,x86_64,0.846,667.714,668.56,100
Run 137,aarch64,1.005,108.946,109.951,100
Run 138,x86_64,0.979,682.748,683.727,100
Run 139,aarch64,1.036,99.913,100.949,100
Run 140,x86_64,1.061,218.843,219.904,100
Run 141,aarch64,1.004,1350.357,1351.361,100
Run 142,x86_64,1.01,623.078,624.088,100
Run 143,aarch64,1.082,99.867,100.949,100
Run 144,x86_64,0.833,100.116,100.949,100
Run 145,aarch64,0.97,284.986,285.956,100
Run 146,x86_64,0.984,206.729,207.713,100
Run 147,aarch64,1.033,99.917,100.949,100
Run 148,x86_64,1.09,99.859,100.949,100
Run 149,aarch64,0.986,449.81,450.796,100
Run 150,x86_64,0.83,231.104,231.933,100
Run 151,aarch64,0.964,390.075,391.039,100
Run 152,x86_64,1.006,99.943,100.949,100
Run 153,aarch64,0.964,108.051,109.015,100
Run 154,x86_64,1.004,694.078,695.082,100
Run 155,aarch64,1.058,1155.862,1156.92,100
Run 156,x86_64,0.945,1451.02,1451.965,100
Run 157,aarch64,0.979,537.683,538.662,100
Run 158,x86_64,1.049,324.001,325.051,100
Run 159,aarch64,1.066,202.041,203.107,100
Run 160,x86_64,1.035,677.067,678.102,100
Run 161,aarch64,1.024,301.863,302.888,100
Run 162,x86_64,1.017,536.724,537.74,100
Run 163,aarch64,1.01,501.915,502.925,100
Run 164,x86_64,1.013,445.442,446.455,100
Run 165,aarch64,0.925,300.771,301.696,100
Run 166,x86_64,1.04,548.51,549.55,100
Run 167,aarch64,1.106,372.587,373.693,100
Run 168,x86_64,0.966,99.984,100.949,100
Run 169,aarch64,0.986,99.963,100.949,100
Run 170,x86_64,1.039,584.067,585.106,100
Run 171,aarch64,1.046,611.007,612.053,100
Run 172,x86_64,0.919,900.479,901.397,100
Run 173,aarch64,1.067,700.724,701.791,100
Run 174,x86_64,0.929,127.34,128.269,100
Run 175,aarch64,0.921,465.357,466.278,100
Run 176,x86_64,1.011,692.251,693.262,100
Run 177,aarch64,1.079,99.87,100.949,100
Run 178,x86_64,0.961,99.988,100.949,100
Run 179,aarch64,0.993,459.107,460.1,100
Run 180,x86_64,1.001,572.205,573.206,100
Run 181,aarch64,1.018,714.294,715.312,100
Run 182,x86_64,0.917,331.027,331.944,100
Run 183,aarch64,0.999,660.175,661.173,100
Run 184,x86_64,0.937,627.142,628.079,100
Run 185,aarch64,0.955,99.995,100.949,100
Run 186,x86_64,1.076,99.874,100.949,100
Run 187,aarch64,1.038,247.968,249.006,100
Run 188,x86_64,0.872,115.257,116.129,100
Run 189,aarch64,0.943,255.969,256.912,100
Run 190,x86_64,0.917,546.115,547.031,100
Run 191,aarch64,1.039,99.91,100.949,100
Run 192,x86_64,0.946,222.973,223.919,100
Run 193,aarch64,1.027,1149.589,1150.617,100
Run 194,x86_64,0.852,100.097,100.949,100
Run 195,aarch64,0.953,341.69,342.644,100
Run 196,x86_64,1.053,631.47,632.523,100
Run 197,aarch64,1.044,1006.903,1007.947,100
Run 198,x86_64,0.945,100.004,100.949,100
Run 199,aarch64,0.959,99.99,100.949,100
Run 200,x86_64,0.996,717.38,718.376,100
Run 201,aarch64,1.002,99.947,100.949,100
Run 202,x86_64,0.933,429.884,430.817,100
Run 203,aarch64,0.953,99.996,100.949,100
Run 204,x86_64,0.866,134.95,135.816,100
Run 205,aarch64,0.927,447.779,448.705,100
Run 206,x86_64,1.034,702.276,703.31,100
Run 207,aarch64,1.033,460.755,461.788,100
Run 208,x86_64,0.953,99.996,100.949,100
Run 209,aarch64,1.035,347.226,348.26,100
Run 210,x86_64,1.097,861.502,862.6,100
Run 211,aarch64,1.028,426.16,427.188,100
Run 212,x86_64,0.932,100.017,100.949,100
Run 213,aarch64,0.964,99.986,100.949,100
Run 214,x86_64,0.996,674.233,675.229,100
Run 215,aarch64,0.97,466.637,467.607,100
Run 216,x86_64,0.879,332.209,333.088,100
Run 217,aarch64,1.092,1035.006,1036.098,100
Run 218,x86_64,0.835,786.297,787.132,100
Run 219,aarch64,1.082,550.965,552.047,100
Run 220,x86_64,1.007,988.07,989.076,100
Run 221,aarch64,1.092,99.857,100.949,100
Run 222,x86_64,0.985,148.515,149.5,100
Run 223,aarch64,1.077,660.673,661.75,100
Run 224,x86_64,0.971,99.978,100.949,100
Run 225,aarch64,1.026,214.262,215.288,100
Run 226,x86_64,1.094,270.329,271.423,100
Run 227,aarch64,0.979,99.971,100.949,100
Run 228,x86_64,0.954,99.995,100.949,100
Run 229,aarch64,1.1,479.204,480.304,100
Run 230,x86_64,1.025,215.393,216.418,100
Run 231,aarch64,1.002,678.382,679.384,100
Run 232,x86_64,0.997,508.432,509.429,100
Run 233,aarch64,1.06,539.816,540.876,100
Run 234,x86_64,0.897,554.254,555.151,100
Run 235,aarch64,0.97,605.268,606.237,100
Run 236,x86_64,0.843,100.107,100.949,100
Run 237,aarch64,1.046,149.095,150.141,100
Run 238,x86_64,0.823,140.312,141.134,100
Run 239,aarch64,1.079,444.017,445.096,100
Run 240,x86_64,1.025,99.924,100.949,100
Run 241,aarch64,1.059,692.923,693.982,100
Run 242,x86_64,0.946,114.354,115.3,100
Run 243,aarch64,1.036,888.821,889.857,100
Run 244,x86_64,0.828,100.121,100.949,100
Run 245,aarch64,1.114,99.835,100.949,100
Run 246,x86_64,1.055,99.894,100.949,100
Run 247,aarch64,1.079,99.87,100.949,100
Run 248,x86_64,1.047,984.059,985.107,100
Run 249,aarch64,1.019,265.268,266.287,100
Run 250,x86_64,0.964,671.696,672.66,100
Run 251,aarch64,0.946,792.39,793.336,100
Run 252,x86_64,1.068,99.881,100.949,100
Run 253,aarch64,1.072,899.078,900.15,100
Run 254,x86_64,1.051,547.776,548.827,100
Run 255,aarch64,0.923,596.352,597.275,100
Run 256,x86_64,0.937,306.003,306.94,100
Run 257,aarch64,1.118,99.831,100.949,100
Run 258,x86_64,1.073,936.904,937.977,100
Run 259,aarch64,1.096,156.992,158.089,100
Run 260,x86_64,1.063,1116.496,1117.559,100
Run 261,aarch64,0.939,300.921,301.859,100
Run 262,x86_64,0.999,517.916,518.915,100
Run 263,aarch64,1.05,892.929,893.979,100
Run 264,x86_64,1.018,565.925,566.943,100
Run 265,aarch64,1.071,252.648,253.719,100
Run 266,x86_64,0.829,469.503,470.331,100
Run 267,aarch64,0.963,839.571,840.534,100
Run 268,x86_64,0.956,634.052,635.008,100
Run 269,aarch64,1.009,739.939,740.948,100
Run 270,x86_64,0.836,416.857,417.693,100
Run 271,aarch64,1.092,253.447,254.539,100
Run 272,x86_64,0.869,100.081,100.949,100
Run 273,aarch64,0.938,459.221,460.158,100
Run 274,x86_64,0.91,236.687,237.598,100
Run 275,aarch64,0.98,99.969,100.949,100
Run 276,x86_64,1.062,856.898,857.961,100
Run 277,aarch64,1.048,337.548,338.596,100
Run 278,x86_64,0.969,273.97,274.939,100
Run 279,aarch64,1.042,576.985,578.027,100
Run 280,x86_64,0.864,696.098,696.962,100
Run 281,aarch64,1.07,849.771,850.841,100
Run 282,x86_64,0.933,151.488,152.421,100
Run 283,aarch64,0.963,561.979,562.942,100
Run 284,x86_64,0.837,276.117,276.954,100
Run 285,aarch64,1.066,164.931,165.997,100
Run 286,x86_64,1.037,715.596,716.633,100
Run 287,aarch64,0.97,226.906,227.876,100
Run 288,x86_64,0.98,178.087,179.067,100
Run 289,aarch64,1.064,206.773,207.837,100
Run 290,x86_64,0.808,1263.238,1264.046,100
Run 291,aarch64,1.089,578.464,579.553,100
Run 292,x86_64,0.982,222.173,223.155,100
Run 293,aarch64,0.958,99.991,100.949,100
Run 294,x86_64,1.035,736.268,737.303,100
Run 295,aarch64,1.079,423.906,424.985,100
Run 296,x86_64,0.872,765.683,766.556,100
Run 297,aarch64,1.048,1101.86,1102.907,100
Run 298,x86_64,0.804,735.658,736.462,100
Run 299,aarch64,0.992,250.355,251.347,100
Run 300,x86_64,1.052,735.317,736.369,100
Run 301,aarch64,1.004,180.193,181.197,100
Run 302,x86_64,0.941,333.763,334.704,100
Run 303,aarch64,1.117,842.648,843.766,100
Run 304,x86_64,0.804,618.514,619.318,100
Run 305,aarch64,0.963,1200.024,1200.987,100
Run 306,x86_64,0.919,100.03,100.949,100
Run 307,aarch64,0.977,251.859,252.836,100
Run 308,x86_64,0.927,100.022,100.949,100
Run 309,aarch64,1.0,106.412,107.413,100
Run 310,x86_64,0.846,100.103,100.949,100
Run 311,aarch64,0.937,1135.514,1136.451,100
Run 312,x86_64,1.092,798.095,799.187,100
Run 313,aarch64,0.951,170.469,171.421,100
Run 314,x86_64,1.029,836.889,837.918,100
Run 315,aarch64,1.05,200.189,201.239,100
Run 316,x86_64,0.931,148.762,149.693,100
Run 317,aarch64,1.111,419.165,420.276,100
Run 318,x86_64,1.077,676.892,677.97,100
Run 319,aarch64,0.943,304.311,305.254,100
Run 320,x86_64,1.0,318.352,319.352,100
Run 321,aarch64,1.052,426.096,427.148,100
Run 322,x86_64,0.841,452.559,453.4,100
Run 323,aarch64,0.922,100.027,100.949,100
Run 324,x86_64,0.955,407.2,408.155,100
Run 325,aarch64,1.085,378.534,379.619,100
Run 326,x86_64,1.025,757.156,758.181,100
Run 327,aarch64,1.095,379.401,380.495,100
Run 328,x86_64,1.07,214.163,215.233,100
Run 329,aarch64,0.987,99.962,100.949,100
Run 330,x86_64,0.879,594.03,594.909,100
Run 331,aarch64,1.115,99.834,100.949,100
Run 332,x86_64,0.953,99.996,100.949,100
Run 333,aarch64,0.931,541.933,542.864,100
Run 334,x86_64,0.847,225.987,226.835,100
Run 335,aarch64,1.075,837.471,838.545,100
Run 336,x86_64,0.835,100.115,100.949,100
Run 337,aarch64,1.068,1134.386,1135.454,100
Run 338,x86_64,0.804,411.487,412.291,100
Run 339,aarch64,0.929,100.02,100.949,100
Run 340,x86_64,0.854,1029.945,1030.799,100
Run 341,aarch64,1.112,1052.781,1053.893,100
Run 342,x86_64,1.014,547.048,548.063,100
Run 343,aarch64,1.051,444.137,445.188,100
Run 344,x86_64,1.075,676.493,677.568,100
Run 345,aarch64,0.984,621.782,622.766,100
Run 346,x86_64,0.836,100.113,100.949,100
Run 347,aarch64,1.055,649.139,650.194,100
Run 348,x86_64,0.955,485.289,486.244,100
Run 349,aarch64,0.929,100.02,100.949,100
Run 350,x86_64,1.06,842.931,843.99,100
