Incident ID,Physical Downtime (sec),Self-Healing Speed (sec),Gross Callout Cost (£),Duration Penalty (£),Net Savings (£),Cumulative Savings (£)
OUT-350-094,2700.0,2.98,4750.0,5.25,4744.75,446092.19
OUT-350-095,2700.0,2.71,4750.0,4.77,4745.23,450837.41
OUT-350-096,2700.0,2.7,4750.0,4.74,4745.26,455582.67
OUT-350-097,2700.0,2.74,4750.0,4.82,4745.18,460327.85
OUT-350-098,2700.0,1.91,4750.0,3.36,4746.64,465074.49
OUT-350-099,2700.0,2.05,4750.0,3.6,4746.4,469820.89
OUT-350-100,2700.0,2.55,4750.0,4.49,4745.51,474566.4
OUT-350-101,2700.0,2.56,4750.0,4.5,4745.5,479311.9
OUT-350-102,2700.0,2.73,4750.0,4.8,4745.2,484057.1
OUT-350-103,2700.0,2.54,4750.0,4.47,4745.53,488802.63
OUT-350-104,2700.0,2.43,4750.0,4.27,4745.73,493548.36
OUT-350-105,2700.0,3.0,4750.0,5.28,4744.72,498293.07
OUT-350-106,2700.0,2.64,4750.0,4.64,4745.36,503038.43
OUT-350-107,2700.0,2.8,4750.0,4.92,4745.08,507783.51
OUT-350-108,2700.0,2.98,4750.0,5.24,4744.76,512528.27
OUT-350-109,2700.0,3.01,4750.0,5.29,4744.71,517272.98
OUT-350-110,2700.0,2.63,4750.0,4.62,4745.38,522018.36
OUT-350-111,2700.0,2.79,4750.0,4.91,4745.09,526763.45
OUT-350-112,2700.0,2.61,4750.0,4.59,4745.41,531508.86
OUT-350-113,2700.0,2.93,4750.0,5.15,4744.85,536253.71
OUT-350-114,2700.0,3.41,4750.0,6.0,4744.0,540997.71
OUT-350-115,2700.0,2.08,4750.0,3.66,4746.34,545744.05
OUT-350-116,2700.0,2.2,4750.0,3.87,4746.13,550490.18
OUT-350-117,2700.0,3.13,4750.0,5.51,4744.49,555234.66
OUT-350-118,2700.0,2.57,4750.0,4.53,4745.47,559980.14
OUT-350-119,2700.0,2.33,4750.0,4.1,4745.9,564726.04
OUT-350-120,2700.0,2.22,4750.0,3.91,4746.09,569472.13
OUT-350-121,2700.0,2.87,4750.0,5.06,4744.94,574217.07
OUT-350-122,2700.0,2.72,4750.0,4.79,4745.21,578962.28
OUT-350-123,2700.0,3.3,4750.0,5.81,4744.19,583706.47
OUT-350-124,2700.0,2.46,4750.0,4.33,4745.67,588452.13
OUT-350-125,2700.0,2.86,4750.0,5.03,4744.97,593197.1
OUT-350-126,2700.0,3.16,4750.0,5.56,4744.44,597941.54
OUT-350-127,2700.0,1.93,4750.0,3.39,4746.61,602688.15
OUT-350-128,2700.0,2.08,4750.0,3.66,4746.34,607434.49
OUT-350-129,2700.0,2.61,4750.0,4.59,4745.41,612179.9
OUT-350-130,2700.0,2.27,4750.0,4.0,4746.0,616925.91
OUT-350-131,2700.0,2.33,4750.0,4.1,4745.9,621671.81
OUT-350-132,2700.0,2.24,4750.0,3.93,4746.07,626417.87
OUT-350-133,2700.0,2.44,4750.0,4.29,4745.71,631163.58
OUT-350-134,2700.0,2.14,4750.0,3.76,4746.24,635909.82
OUT-350-135,2700.0,1.99,4750.0,3.5,4746.5,640656.32
OUT-350-136,2700.0,2.65,4750.0,4.67,4745.33,645401.65
OUT-350-137,2700.0,2.55,4750.0,4.49,4745.51,650147.17
OUT-350-138,2700.0,2.89,4750.0,5.09,4744.91,654892.08
OUT-350-139,2700.0,2.71,4750.0,4.77,4745.23,659637.31
OUT-350-140,2700.0,2.67,4750.0,4.7,4745.3,664382.62
OUT-350-141,2700.0,2.8,4750.0,4.93,4745.07,669127.69
OUT-350-142,2700.0,2.13,4750.0,3.75,4746.25,673873.93
OUT-350-143,2700.0,2.3,4750.0,4.05,4745.95,678619.89
OUT-350-144,2700.0,2.61,4750.0,4.59,4745.41,683365.3
OUT-350-145,2700.0,2.87,4750.0,5.06,4744.94,688110.24
OUT-350-146,2700.0,2.76,4750.0,4.85,4745.15,692855.39
OUT-350-147,2700.0,2.42,4750.0,4.25,4745.75,697601.14
OUT-350-148,2700.0,2.43,4750.0,4.27,4745.73,702346.87
OUT-350-149,2700.0,2.6,4750.0,4.57,4745.43,707092.3
OUT-350-150,2700.0,2.04,4750.0,3.58,4746.42,711838.71
OUT-350-151,2700.0,2.84,4750.0,5.0,4745.0,716583.72
OUT-350-152,2700.0,2.81,4750.0,4.94,4745.06,721328.78
OUT-350-153,2700.0,2.87,4750.0,5.05,4744.95,726073.72
OUT-350-154,2700.0,2.9,4750.0,5.1,4744.9,730818.63
OUT-350-155,2700.0,2.9,4750.0,5.1,4744.9,735563.53
OUT-350-156,2700.0,1.75,4750.0,3.07,4746.93,740310.45
OUT-350-157,2700.0,2.59,4750.0,4.56,4745.44,745055.9
OUT-350-158,2700.0,1.93,4750.0,3.39,4746.61,749802.5
OUT-350-159,2700.0,2.12,4750.0,3.73,4746.27,754548.78
OUT-350-160,2700.0,2.45,4750.0,4.3,4745.7,759294.47
OUT-350-161,2700.0,2.97,4750.0,5.23,4744.77,764039.24
OUT-350-162,2700.0,2.63,4750.0,4.63,4745.37,768784.61
OUT-350-163,2700.0,2.59,4750.0,4.56,4745.44,773530.05
OUT-350-164,2700.0,3.21,4750.0,5.65,4744.35,778274.4
OUT-350-165,2700.0,2.6,4750.0,4.57,4745.43,783019.83
OUT-350-166,2700.0,2.12,4750.0,3.73,4746.27,787766.1
OUT-350-167,2700.0,1.94,4750.0,3.42,4746.58,792512.68
OUT-350-168,2700.0,2.15,4750.0,3.78,4746.22,797258.9
OUT-350-169,2700.0,2.54,4750.0,4.48,4745.52,802004.42
OUT-350-170,2700.0,1.88,4750.0,3.31,4746.69,806751.11
OUT-350-171,2700.0,2.68,4750.0,4.71,4745.29,811496.4
OUT-350-172,2700.0,2.62,4750.0,4.62,4745.38,816241.78
OUT-350-173,2700.0,2.21,4750.0,3.89,4746.11,820987.89
OUT-350-174,2700.0,2.54,4750.0,4.47,4745.53,825733.42
OUT-350-175,2700.0,2.71,4750.0,4.76,4745.24,830478.66
OUT-350-176,2700.0,2.25,4750.0,3.95,4746.05,835224.71
OUT-350-177,2700.0,2.79,4750.0,4.91,4745.09,839969.79
OUT-350-178,2700.0,2.21,4750.0,3.89,4746.11,844715.9
OUT-350-179,2700.0,2.74,4750.0,4.81,4745.19,849461.09
OUT-350-180,2700.0,3.08,4750.0,5.42,4744.58,854205.66
OUT-350-181,2700.0,2.63,4750.0,4.62,4745.38,858951.04
OUT-350-182,2700.0,1.99,4750.0,3.5,4746.5,863697.54
OUT-350-183,2700.0,2.54,4750.0,4.46,4745.54,868443.07
OUT-350-184,2700.0,2.53,4750.0,4.46,4745.54,873188.62
OUT-350-185,2700.0,2.16,4750.0,3.79,4746.21,877934.83
OUT-350-186,2700.0,2.0,4750.0,3.51,4746.49,882681.32
OUT-350-187,2700.0,2.35,4750.0,4.13,4745.87,887427.19
OUT-350-188,2700.0,2.85,4750.0,5.01,4744.99,892172.18
OUT-350-189,2700.0,2.83,4750.0,4.97,4745.03,896917.2
OUT-350-190,2700.0,2.98,4750.0,5.24,4744.76,901661.96
OUT-350-191,2700.0,2.48,4750.0,4.37,4745.63,906407.59
OUT-350-192,2700.0,3.29,4750.0,5.78,4744.22,911151.81
OUT-350-193,2700.0,2.16,4750.0,3.8,4746.2,915898.01
OUT-350-194,2700.0,2.68,4750.0,4.71,4745.29,920643.3
OUT-350-195,2700.0,2.4,4750.0,4.23,4745.77,925389.07
OUT-350-196,2700.0,3.1,4750.0,5.45,4744.55,930133.63
OUT-350-197,2700.0,2.51,4750.0,4.42,4745.58,934879.21
OUT-350-198,2700.0,2.09,4750.0,3.67,4746.33,939625.53
OUT-350-199,2700.0,2.6,4750.0,4.57,4745.43,944370.97
OUT-350-200,2700.0,2.05,4750.0,3.61,4746.39,949117.36
OUT-350-201,2700.0,2.15,4750.0,3.78,4746.22,953863.57
OUT-350-202,2700.0,2.87,4750.0,5.05,4744.95,958608.52
OUT-350-203,2700.0,2.49,4750.0,4.38,4745.62,963354.14
OUT-350-204,2700.0,2.84,4750.0,5.0,4745.0,968099.14
OUT-350-205,2700.0,2.15,4750.0,3.78,4746.22,972845.36
OUT-350-206,2700.0,3.02,4750.0,5.31,4744.69,977590.04
OUT-350-207,2700.0,2.43,4750.0,4.27,4745.73,982335.77
OUT-350-208,2700.0,1.72,4750.0,3.02,4746.98,987082.75
OUT-350-209,2700.0,2.14,4750.0,3.77,4746.23,991828.98
OUT-350-210,2700.0,1.94,4750.0,3.41,4746.59,996575.57
OUT-350-211,2700.0,1.91,4750.0,3.37,4746.63,1001322.2
OUT-350-212,2700.0,2.7,4750.0,4.76,4745.24,1006067.44
OUT-350-213,2700.0,2.65,4750.0,4.66,4745.34,1010812.79
OUT-350-214,2700.0,2.74,4750.0,4.81,4745.19,1015557.97
OUT-350-215,2700.0,2.21,4750.0,3.88,4746.12,1020304.09
OUT-350-216,2700.0,2.71,4750.0,4.77,4745.23,1025049.32
OUT-350-217,2700.0,1.91,4750.0,3.37,4746.63,1029795.95
OUT-350-218,2700.0,2.31,4750.0,4.06,4745.94,1034541.9
OUT-350-219,2700.0,2.44,4750.0,4.29,4745.71,1039287.61
OUT-350-220,2700.0,2.27,4750.0,4.0,4746.0,1044033.61
OUT-350-221,2700.0,2.54,4750.0,4.47,4745.53,1048779.14
OUT-350-222,2700.0,2.49,4750.0,4.38,4745.62,1053524.76
OUT-350-223,2700.0,2.69,4750.0,4.73,4745.27,1058270.03
OUT-350-224,2700.0,2.62,4750.0,4.61,4745.39,1063015.42
OUT-350-225,2700.0,2.88,4750.0,5.07,4744.93,1067760.35
OUT-350-226,2700.0,2.31,4750.0,4.06,4745.94,1072506.29
OUT-350-227,2700.0,2.76,4750.0,4.86,4745.14,1077251.43
OUT-350-228,2700.0,2.61,4750.0,4.59,4745.41,1081996.84
OUT-350-229,2700.0,2.6,4750.0,4.57,4745.43,1086742.27
OUT-350-230,2700.0,2.55,4750.0,4.49,4745.51,1091487.78
OUT-350-231,2700.0,1.64,4750.0,2.88,4747.12,1096234.9
OUT-350-232,2700.0,3.27,4750.0,5.75,4744.25,1100979.15
OUT-350-233,2700.0,2.13,4750.0,3.75,4746.25,1105725.4
OUT-350-234,2700.0,2.18,4750.0,3.84,4746.16,1110471.56
OUT-350-235,2700.0,2.37,4750.0,4.17,4745.83,1115217.39
OUT-350-236,2700.0,1.98,4750.0,3.48,4746.52,1119963.91
OUT-350-237,2700.0,3.2,4750.0,5.63,4744.37,1124708.28
OUT-350-238,2700.0,2.25,4750.0,3.96,4746.04,1129454.32
OUT-350-239,2700.0,2.23,4750.0,3.92,4746.08,1134200.41
OUT-350-240,2700.0,2.17,4750.0,3.81,4746.19,1138946.59
OUT-350-241,2700.0,2.67,4750.0,4.71,4745.29,1143691.89
OUT-350-242,2700.0,3.06,4750.0,5.38,4744.62,1148436.51
OUT-350-243,2700.0,2.61,4750.0,4.59,4745.41,1153181.92
OUT-350-244,2700.0,2.19,4750.0,3.85,4746.15,1157928.06
OUT-350-245,2700.0,3.03,4750.0,5.33,4744.67,1162672.73
OUT-350-246,2700.0,2.61,4750.0,4.6,4745.4,1167418.14
OUT-350-247,2700.0,2.21,4750.0,3.89,4746.11,1172164.25
OUT-350-248,2700.0,2.47,4750.0,4.35,4745.65,1176909.9
OUT-350-249,2700.0,2.55,4750.0,4.49,4745.51,1181655.41
OUT-350-250,2700.0,2.59,4750.0,4.56,4745.44,1186400.84
OUT-350-251,2700.0,2.5,4750.0,4.4,4745.6,1191146.44
OUT-350-252,2700.0,2.51,4750.0,4.41,4745.59,1195892.03
OUT-350-253,2700.0,3.25,4750.0,5.71,4744.29,1200636.32
OUT-350-254,2700.0,3.63,4750.0,6.39,4743.61,1205379.93
OUT-350-255,2700.0,2.57,4750.0,4.52,4745.48,1210125.41
OUT-350-256,2700.0,2.13,4750.0,3.75,4746.25,1214871.65
OUT-350-257,2700.0,2.08,4750.0,3.66,4746.34,1219618.0
OUT-350-258,2700.0,2.83,4750.0,4.97,4745.03,1224363.02
OUT-350-259,2700.0,1.85,4750.0,3.26,4746.74,1229109.77
OUT-350-260,2700.0,2.43,4750.0,4.27,4745.73,1233855.5
OUT-350-261,2700.0,2.66,4750.0,4.68,4745.32,1238600.82
OUT-350-262,2700.0,2.57,4750.0,4.53,4745.47,1243346.3
OUT-350-263,2700.0,2.34,4750.0,4.11,4745.89,1248092.18
OUT-350-264,2700.0,3.24,4750.0,5.69,4744.31,1252836.49
OUT-350-265,2700.0,2.82,4750.0,4.96,4745.04,1257581.53
OUT-350-266,2700.0,2.31,4750.0,4.07,4745.93,1262327.47
OUT-350-267,2700.0,2.81,4750.0,4.95,4745.05,1267072.52
OUT-350-268,2700.0,2.43,4750.0,4.27,4745.73,1271818.25
OUT-350-269,2700.0,2.29,4750.0,4.03,4745.97,1276564.21
OUT-350-270,2700.0,2.34,4750.0,4.11,4745.89,1281310.1
OUT-350-271,2700.0,2.97,4750.0,5.23,4744.77,1286054.87
OUT-350-272,2700.0,2.28,4750.0,4.0,4746.0,1290800.87
OUT-350-273,2700.0,2.47,4750.0,4.35,4745.65,1295546.52
OUT-350-274,2700.0,2.91,4750.0,5.12,4744.88,1300291.4
OUT-350-275,2700.0,2.62,4750.0,4.61,4745.39,1305036.79
OUT-350-276,2700.0,2.6,4750.0,4.57,4745.43,1309782.22
OUT-350-277,2700.0,2.23,4750.0,3.93,4746.07,1314528.29
OUT-350-278,2700.0,3.43,4750.0,6.04,4743.96,1319272.26
OUT-350-279,2700.0,2.83,4750.0,4.97,4745.03,1324017.28
OUT-350-280,2700.0,1.55,4750.0,2.73,4747.27,1328764.55
OUT-350-281,2700.0,3.02,4750.0,5.32,4744.68,1333509.23
OUT-350-282,2700.0,1.99,4750.0,3.49,4746.51,1338255.74
OUT-350-283,2700.0,1.95,4750.0,3.43,4746.57,1343002.31
OUT-350-284,2700.0,2.22,4750.0,3.91,4746.09,1347748.4
OUT-350-285,2700.0,3.0,4750.0,5.28,4744.72,1352493.12
OUT-350-286,2700.0,2.39,4750.0,4.21,4745.79,1357238.91
OUT-350-287,2700.0,2.58,4750.0,4.55,4745.45,1361984.37
OUT-350-288,2700.0,1.83,4750.0,3.22,4746.78,1366731.14
OUT-350-289,2700.0,2.93,4750.0,5.15,4744.85,1371475.99
OUT-350-290,2700.0,2.39,4750.0,4.21,4745.79,1376221.78
OUT-350-291,2700.0,1.98,4750.0,3.49,4746.51,1380968.29
OUT-350-292,2700.0,2.63,4750.0,4.63,4745.37,1385713.66
OUT-350-293,2700.0,2.7,4750.0,4.74,4745.26,1390458.92
OUT-350-294,2700.0,2.53,4750.0,4.46,4745.54,1395204.46
OUT-350-295,2700.0,3.02,4750.0,5.31,4744.69,1399949.15
OUT-350-296,2700.0,2.73,4750.0,4.81,4745.19,1404694.34
OUT-350-297,2700.0,3.1,4750.0,5.46,4744.54,1409438.89
OUT-350-298,2700.0,2.48,4750.0,4.36,4745.64,1414184.53
OUT-350-299,2700.0,2.54,4750.0,4.48,4745.52,1418930.05
OUT-350-300,2700.0,2.85,4750.0,5.01,4744.99,1423675.05
OUT-350-301,2700.0,2.96,4750.0,5.21,4744.79,1428419.83
OUT-350-302,2700.0,2.37,4750.0,4.16,4745.84,1433165.67
OUT-350-303,2700.0,3.25,4750.0,5.73,4744.27,1437909.94
OUT-350-304,2700.0,2.55,4750.0,4.48,4745.52,1442655.47
OUT-350-305,2700.0,2.5,4750.0,4.4,4745.6,1447401.06
OUT-350-306,2700.0,2.68,4750.0,4.71,4745.29,1452146.35
OUT-350-307,2700.0,2.16,4750.0,3.8,4746.2,1456892.56
OUT-350-308,2700.0,1.84,4750.0,3.24,4746.76,1461639.32
OUT-350-309,2700.0,3.32,4750.0,5.84,4744.16,1466383.47
OUT-350-310,2700.0,2.93,4750.0,5.15,4744.85,1471128.33
OUT-350-311,2700.0,2.13,4750.0,3.75,4746.25,1475874.58
OUT-350-312,2700.0,2.55,4750.0,4.49,4745.51,1480620.08
OUT-350-313,2700.0,2.75,4750.0,4.84,4745.16,1485365.25
OUT-350-314,2700.0,2.3,4750.0,4.05,4745.95,1490111.19
OUT-350-315,2700.0,3.07,4750.0,5.41,4744.59,1494855.79
OUT-350-316,2700.0,2.3,4750.0,4.05,4745.95,1499601.74
OUT-350-317,2700.0,2.9,4750.0,5.1,4744.9,1504346.64
OUT-350-318,2700.0,2.25,4750.0,3.95,4746.05,1509092.69
OUT-350-319,2700.0,2.7,4750.0,4.76,4745.24,1513837.93
OUT-350-320,2700.0,3.12,4750.0,5.49,4744.51,1518582.44
OUT-350-321,2700.0,2.69,4750.0,4.73,4745.27,1523327.71
OUT-350-322,2700.0,2.3,4750.0,4.05,4745.95,1528073.65
OUT-350-323,2700.0,2.59,4750.0,4.55,4745.45,1532819.1
OUT-350-324,2700.0,2.79,4750.0,4.91,4745.09,1537564.19
OUT-350-325,2700.0,2.33,4750.0,4.1,4745.9,1542310.1
OUT-350-326,2700.0,2.34,4750.0,4.12,4745.88,1547055.98
OUT-350-327,2700.0,3.2,4750.0,5.64,4744.36,1551800.34
OUT-350-328,2700.0,3.06,4750.0,5.38,4744.62,1556544.96
OUT-350-329,2700.0,2.23,4750.0,3.93,4746.07,1561291.02
OUT-350-330,2700.0,1.97,4750.0,3.47,4746.53,1566037.55
OUT-350-331,2700.0,1.99,4750.0,3.49,4746.51,1570784.06
OUT-350-332,2700.0,2.05,4750.0,3.61,4746.39,1575530.45
OUT-350-333,2700.0,2.39,4750.0,4.2,4745.8,1580276.25
OUT-350-334,2700.0,2.47,4750.0,4.34,4745.66,1585021.9
OUT-350-335,2700.0,1.95,4750.0,3.42,4746.58,1589768.48
OUT-350-336,2700.0,2.56,4750.0,4.51,4745.49,1594513.97
OUT-350-337,2700.0,1.34,4750.0,2.36,4747.64,1599261.62
OUT-350-338,2700.0,2.56,4750.0,4.5,4745.5,1604007.12
OUT-350-339,2700.0,3.14,4750.0,5.53,4744.47,1608751.59
OUT-350-340,2700.0,2.01,4750.0,3.54,4746.46,1613498.05
OUT-350-341,2700.0,1.35,4750.0,2.37,4747.63,1618245.67
OUT-350-342,2700.0,2.57,4750.0,4.52,4745.48,1622991.16
OUT-350-343,2700.0,2.78,4750.0,4.89,4745.11,1627736.27
OUT-350-344,2700.0,2.34,4750.0,4.11,4745.89,1632482.16
OUT-350-345,2700.0,2.59,4750.0,4.56,4745.44,1637227.6
OUT-350-346,2700.0,3.02,4750.0,5.31,4744.69,1641972.29
OUT-350-347,2700.0,3.18,4750.0,5.59,4744.41,1646716.7
OUT-350-348,2700.0,2.74,4750.0,4.82,4745.18,1651461.89
OUT-350-349,2700.0,2.01,4750.0,3.53,4746.47,1656208.36
OUT-350-350,2700.0,2.57,4750.0,4.52,4745.48,1660953.84
