Update Run ID,Legacy Dispatch Cost (£),Legacy Cumulative Cost (£),Automated OTA Cost (£),Automated OTA Cumulative Cost (£),Net Financial Savings (£)
Run 203,4890.14,964278.32,0.06,11.089,964267.23
Run 204,4742.23,969020.55,0.044,11.133,969009.42
Run 205,4651.96,973672.51,0.064,11.197,973661.32
Run 206,4667.13,978339.64,0.058,11.256,978328.39
Run 207,4882.9,983222.55,0.061,11.317,983211.23
Run 208,4812.81,988035.36,0.048,11.365,988023.99
Run 209,4868.64,992904.0,0.066,11.431,992892.57
Run 210,4737.7,997641.7,0.047,11.477,997630.22
Run 211,4690.64,1002332.34,0.056,11.533,1002320.81
Run 212,4787.08,1007119.43,0.058,11.59,1007107.84
Run 213,4602.2,1011721.63,0.07,11.66,1011709.97
Run 214,4889.95,1016611.58,0.065,11.726,1016599.85
Run 215,4768.44,1021380.01,0.058,11.783,1021368.23
Run 216,4684.8,1026064.82,0.061,11.844,1026052.97
Run 217,4744.52,1030809.34,0.05,11.894,1030797.44
Run 218,4682.94,1035492.28,0.05,11.944,1035480.34
Run 219,4683.07,1040175.35,0.06,12.003,1040163.34
Run 220,4885.66,1045061.0,0.06,12.063,1045048.94
Run 221,4656.51,1049717.51,0.056,12.119,1049705.39
Run 222,4672.09,1054389.6,0.042,12.16,1054377.44
Run 223,4857.19,1059246.8,0.064,12.225,1059234.57
Run 224,4721.23,1063968.03,0.05,12.274,1063955.75
Run 225,4641.98,1068610.01,0.041,12.315,1068597.69
Run 226,4749.21,1073359.22,0.049,12.364,1073346.85
Run 227,4872.07,1078231.29,0.052,12.416,1078218.88
Run 228,4821.02,1083052.31,0.057,12.473,1083039.84
Run 229,4898.43,1087950.74,0.064,12.538,1087938.2
Run 230,4702.95,1092653.69,0.061,12.599,1092641.09
Run 231,4805.9,1097459.58,0.059,12.658,1097446.92
Run 232,4742.72,1102202.3,0.068,12.727,1102189.58
Run 233,4707.55,1106909.85,0.049,12.776,1106897.08
Run 234,4651.0,1111560.85,0.06,12.835,1111548.01
Run 235,4767.47,1116328.32,0.049,12.884,1116315.44
Run 236,4741.23,1121069.56,0.062,12.946,1121056.61
Run 237,4817.56,1125887.11,0.057,13.003,1125874.11
Run 238,4873.79,1130760.9,0.068,13.072,1130747.83
Run 239,4869.88,1135630.78,0.06,13.131,1135617.65
Run 240,4666.68,1140297.45,0.047,13.178,1140284.28
Run 241,4861.43,1145158.88,0.053,13.231,1145145.65
Run 242,4866.05,1150024.94,0.051,13.282,1150011.65
Run 243,4775.67,1154800.61,0.054,13.336,1154787.27
Run 244,4635.33,1159435.94,0.042,13.377,1159422.56
Run 245,4790.32,1164226.26,0.057,13.435,1164212.83
Run 246,4786.2,1169012.46,0.054,13.489,1168998.97
Run 247,4658.36,1173670.82,0.044,13.532,1173657.29
Run 248,4804.21,1178475.03,0.056,13.588,1178461.44
Run 249,4723.93,1183198.96,0.066,13.654,1183185.31
Run 250,4645.23,1187844.2,0.07,13.724,1187830.47
Run 251,4702.8,1192547.0,0.07,13.794,1192533.2
Run 252,4867.85,1197414.85,0.07,13.863,1197400.99
Run 253,4642.97,1202057.82,0.066,13.929,1202043.89
Run 254,4654.11,1206711.92,0.042,13.972,1206697.95
Run 255,4699.79,1211411.71,0.07,14.041,1211397.67
Run 256,4694.02,1216105.74,0.042,14.083,1216091.65
Run 257,4735.62,1220841.35,0.046,14.129,1220827.22
Run 258,4832.06,1225673.42,0.057,14.187,1225659.23
Run 259,4647.53,1230320.95,0.064,14.25,1230306.7
Run 260,4833.93,1235154.87,0.044,14.294,1235140.58
Run 261,4730.11,1239884.99,0.053,14.347,1239870.64
Run 262,4728.71,1244613.69,0.054,14.401,1244599.29
Run 263,4601.4,1249215.09,0.056,14.457,1249200.64
Run 264,4819.2,1254034.29,0.069,14.526,1254019.77
Run 265,4867.6,1258901.89,0.063,14.588,1258887.31
Run 266,4759.31,1263661.2,0.041,14.629,1263646.57
Run 267,4601.24,1268262.44,0.062,14.691,1268247.75
Run 268,4667.88,1272930.32,0.066,14.757,1272915.56
Run 269,4693.63,1277623.95,0.043,14.8,1277609.15
Run 270,4751.0,1282374.95,0.049,14.85,1282360.1
Run 271,4619.59,1286994.54,0.041,14.891,1286979.64
Run 272,4884.54,1291879.07,0.054,14.945,1291864.13
Run 273,4756.09,1296635.16,0.056,15.0,1296620.16
Run 274,4730.1,1301365.26,0.061,15.061,1301350.2
Run 275,4640.14,1306005.4,0.07,15.131,1305990.27
Run 276,4747.05,1310752.45,0.063,15.193,1310737.26
Run 277,4649.47,1315401.92,0.067,15.261,1315386.66
Run 278,4843.6,1320245.52,0.041,15.301,1320230.22
Run 279,4667.3,1324912.81,0.07,15.371,1324897.44
Run 280,4663.36,1329576.17,0.041,15.411,1329560.76
Run 281,4751.39,1334327.56,0.044,15.455,1334312.11
Run 282,4813.33,1339140.9,0.064,15.519,1339125.38
Run 283,4712.56,1343853.45,0.059,15.578,1343837.87
Run 284,4831.37,1348684.83,0.059,15.637,1348669.19
Run 285,4778.18,1353463.0,0.041,15.678,1353447.33
Run 286,4632.43,1358095.44,0.065,15.743,1358079.7
Run 287,4614.47,1362709.91,0.043,15.787,1362694.12
Run 288,4733.29,1367443.2,0.044,15.83,1367427.37
Run 289,4675.82,1372119.03,0.061,15.891,1372103.13
Run 290,4661.65,1376780.67,0.061,15.952,1376764.72
Run 291,4602.79,1381383.47,0.053,16.005,1381367.46
Run 292,4630.29,1386013.76,0.056,16.06,1385997.7
Run 293,4786.84,1390800.6,0.061,16.121,1390784.48
Run 294,4725.65,1395526.25,0.067,16.188,1395510.06
Run 295,4753.48,1400279.72,0.059,16.247,1400263.47
Run 296,4684.81,1404964.53,0.064,16.31,1404948.22
Run 297,4749.32,1409713.86,0.058,16.369,1409697.49
Run 298,4833.39,1414547.24,0.065,16.434,1414530.81
Run 299,4891.94,1419439.18,0.051,16.484,1419422.69
Run 300,4722.93,1424162.11,0.045,16.529,1424145.58
Run 301,4764.44,1428926.55,0.067,16.596,1428909.95
Run 302,4806.46,1433733.01,0.054,16.651,1433716.36
Run 303,4670.35,1438403.36,0.04,16.691,1438386.67
Run 304,4626.7,1443030.06,0.043,16.734,1443013.33
Run 305,4772.25,1447802.31,0.055,16.789,1447785.52
Run 306,4884.83,1452687.14,0.063,16.853,1452670.29
Run 307,4622.51,1457309.66,0.062,16.914,1457292.74
Run 308,4871.43,1462181.09,0.059,16.974,1462164.12
Run 309,4737.03,1466918.11,0.069,17.043,1466901.07
Run 310,4679.24,1471597.35,0.042,17.085,1471580.27
Run 311,4843.95,1476441.31,0.066,17.151,1476424.15
Run 312,4855.67,1481296.98,0.051,17.202,1481279.78
Run 313,4803.03,1486100.01,0.053,17.254,1486082.76
Run 314,4634.77,1490734.78,0.066,17.32,1490717.46
Run 315,4867.09,1495601.87,0.04,17.36,1495584.51
Run 316,4641.52,1500243.39,0.059,17.42,1500225.97
Run 317,4698.6,1504941.98,0.067,17.486,1504924.5
Run 318,4886.53,1509828.51,0.048,17.534,1509810.98
Run 319,4819.92,1514648.43,0.051,17.586,1514630.85
Run 320,4702.82,1519351.25,0.043,17.629,1519333.62
Run 321,4720.08,1524071.32,0.054,17.683,1524053.64
Run 322,4850.71,1528922.04,0.061,17.743,1528904.29
Run 323,4743.47,1533665.51,0.053,17.796,1533647.71
Run 324,4865.84,1538531.35,0.045,17.841,1538513.51
Run 325,4639.75,1543171.1,0.062,17.903,1543153.2
Run 326,4894.47,1548065.57,0.065,17.968,1548047.6
Run 327,4631.11,1552696.68,0.067,18.036,1552678.65
Run 328,4744.8,1557441.49,0.057,18.093,1557423.39
Run 329,4731.45,1562172.94,0.058,18.151,1562154.79
Run 330,4833.75,1567006.69,0.058,18.209,1566988.48
Run 331,4858.77,1571865.46,0.066,18.276,1571847.18
Run 332,4818.18,1576683.64,0.067,18.342,1576665.3
Run 333,4744.92,1581428.57,0.055,18.397,1581410.17
Run 334,4866.28,1586294.84,0.053,18.45,1586276.39
Run 335,4619.0,1590913.84,0.06,18.51,1590895.33
Run 336,4603.71,1595517.55,0.066,18.576,1595498.98
Run 337,4757.45,1600275.0,0.062,18.638,1600256.36
Run 338,4817.13,1605092.13,0.047,18.685,1605073.44
Run 339,4886.73,1609978.86,0.066,18.751,1609960.11
Run 340,4755.73,1614734.59,0.061,18.812,1614715.78
Run 341,4785.47,1619520.06,0.053,18.865,1619501.2
Run 342,4818.0,1624338.06,0.054,18.919,1624319.14
Run 343,4799.11,1629137.17,0.059,18.979,1629118.19
Run 344,4644.6,1633781.77,0.065,19.043,1633762.72
Run 345,4867.62,1638649.38,0.058,19.102,1638630.28
Run 346,4603.49,1643252.88,0.068,19.17,1643233.71
Run 347,4751.67,1648004.55,0.054,19.224,1647985.32
Run 348,4748.75,1652753.3,0.045,19.269,1652734.03
Run 349,4825.43,1657578.73,0.05,19.318,1657559.41
Run 350,4699.27,1662278.0,0.048,19.367,1662258.63
